"Codigo";"Titulo";"Autor";"Editor";"Proveedor";"Tema";"COLECCION";"Cod.Barra";"ISBN";"Ubicacion";"Deposito";"Repos.";"Cant.Propio";"Cant.Terceros";"Cant.Reservados";"Cant.Total";"Ultima Venta";"Dep 1";"Dep 2";"Dep 3";"Dep 4";"Dep 5";"Dep 6";"Dep 7";"Dep 8";"Dep 9";"Dep 10";"Dep 11 Con";"PVP";"Accesorios";"Codigo Prov";""                                                                                                                                                                                              
9789500397032;"POESIA DE A.MACHADO -70 ANIV.                     ";"MACHADO             ";"LOSADA              ";"LOSADA S.A.         ";"A CATALOGAR         ";"ML                  ";09789500397032;"9789500397032";"                   ";"TODOS               ";               0;              8 ;              3 ;               0;             11 ;"21/08/2020";      11;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   900.00;"NO DEFINIDO ";"             ";" "             
0570000000405;"POESIA DE RUBEN DARIO, LA/L                       ";"SALINAS, PEDRO      ";"LOSADA              ";"LOSADA S.A.         ";"GUIAS VARIAS        ";"ML                  ";09789500360661;"9789500360661";"                   ";"TODOS               ";               0;               0;               0;               0;               0;"10/03/2021";       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1200.00;"NO DEFINIDO ";"             ";" "             
9788437612249;"POESIA INEDITA DE JUVENTUD  *374 *                ";"GARCIA LORCA, F     ";"CATEDRA             ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788437612249;"9788437612249";"                   ";"TODOS               ";               0;              1 ;              1 ;               0;              2 ;"10/06/2017";       2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  3480.00;"NO DEFINIDO ";"             ";" "             
9788437611044;"POESIA LIRICA                                     ";"SOR JUANA INES      ";"CATEDRA             ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788437611044;"9788437611044";"                   ";"TODOS               ";               0;               0;               0;               0;               0;"09/10/2020";       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  2800.00;"NO DEFINIDO ";"             ";" "             
9789877191868;"POESIA NO COMPLETA                                ";"SZYMBORKA, WISLAWA  ";"FONDO DE CULTURA ECO";"FONDO DE CULTURA ECO";"POESIA              ";"ML                  ";09789877191868;"9789877191868";"                   ";"TODOS               ";               0;               0;              6 ;               0;              6 ;"30/07/2021";       6;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  2200.00;"NO DEFINIDO ";"             ";" "             
9788420649009;"POESIA POPULAR DE LA CHINA ANTIGUA                ";"AA.VV.              ";"ALIANZA EDITORIAL   ";"AIQUE GRUPO EDITOR S";"LITERATURA UNIVERSAL";"ML                  ";09788420649009;"9788420649009";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"07/11/2020";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  6400.00;"NO DEFINIDO ";"             ";" "             
9789507317170;"POESIA REUNIDA TOMO I 1956-1980                   ";"GELMAN, J           ";"SEIX BARRAL         ";"PLANETA ARGENTINA S.";"POESIA              ";"ML                  ";09789507317170;"9789507317170";"                   ";"TODOS               ";               0;               0;              1 ;               0;              1 ;"17/07/2021";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  2000.00;"NO DEFINIDO ";"             ";" "             
9789507317187;"POESIA REUNIDA TOMO II 1982-2010                  ";"GELMAN, J           ";"SEIX BARRAL         ";"PLANETA ARGENTINA S.";"POESIA              ";"ML                  ";09789507317187;"9789507317187";"                   ";"TODOS               ";               0;               0;              3 ;               0;              3 ;"10/05/2021";       3;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  2000.00;"NO DEFINIDO ";"             ";" "             
9788475058924;"POESIA ROMANTICA ESPAÑOLA                         ";"                    ";"LOSADA              ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788475058924;"9788475058924";"                   ";"TODOS               ";               0;             10 ;               0;               0;             10 ;"00/00/0000";      10;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   900.00;"NO DEFINIDO ";"             ";" "             
9788437604404;"POESIA SELECTA                                    ";"LOPE DE VEGA        ";"CATEDRA             ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788437604404;"9788437604404";"                   ";"TODOS               ";               0;              2 ;               0;               0;              2 ;"00/00/0000";       2;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  3480.00;"NO DEFINIDO ";"             ";" "             
9788437629766;"POESIA VERTICAL                                   ";"JUARROZ, ROBERTO    ";"CATEDRA             ";"LOSADA S.A.         ";"LITERATURA ARGENTINA";"ML                  ";09788437629766;"9788437629766";"                   ";"TODOS               ";               0;             15 ;               0;               0;             15 ;"16/03/2021";      15;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  3400.00;"NO DEFINIDO ";"             ";" "             
9789871399680;"POESIA Y PENSAMIENTO                              ";"TORNAY,J.M.         ";"                    ";"DISTRIBUIDORA GALERN";"POESIA              ";"ML                  ";09789871399680;"9789871399680";"                   ";"TODOS               ";               0;               0;               0;               0;               0;"00/00/0000";       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   600.00;"NO DEFINIDO ";"             ";" "             
0008487198449;"POESIA Y POETICA ARABES                           ";"ADONIS              ";"DEL ORIENTE Y M.    ";"MARTINEZ MURGUIA S.A";"CRITICA LITERARIA   ";"ML                  ";00000000000000;"9788487198441";"                   ";"TODOS               ";               0;               0;               0;               0;               0;"29/03/2021";       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1450.00;"NO DEFINIDO ";"             ";" "             
9788471752857;"POESIA/ BERTRAN                                   ";"BERTRAN, JUAN B.    ";"EDICIONES 29        ";"DISTRIBUCIONES AMERI";"POESIA              ";"ML                  ";09788471752857;"9788471752857";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"00/00/0000";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  1650.00;"NO DEFINIDO ";"             ";" "             
9788437615134;"POESIAS                                           ";"DE UNAMUNO          ";"CATEDRA             ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788437615134;"9788437615134";"                   ";"TODOS               ";               0;              1 ;               0;               0;              1 ;"00/00/0000";       1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;  2880.00;"NO DEFINIDO ";"             ";" "             
9788475058252;"POESIAS                                           ";"GARCILASO DE LA VEGA";"LOSADA              ";"LOSADA S.A.         ";"POESIA              ";"ML                  ";09788475058252;"9788475058252";"                   ";"TODOS               ";               0;             10 ;               0;               0;             10 ;"00/00/0000";      10;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   900.00;"NO DEFINIDO ";"             ";" "             
